"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"3","3","Barbed Bloodletter","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","86","False","False","0.16"
"1","1","Barbed Bloodletter","ecl","Near Mint","English","foil","","2026-09-10 00:13:02.787000","86","False","False","0.15"
"3","3","Bard the Bowman","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","145","False","False","0.19"
"2","2","Bard, King of Dale","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","144","False","False","6.76"
"2","2","Bard's Bow","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","174","False","False","0.08"
"1","1","Bard's Company","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","210","False","False","0.74"
"2","2","Bard's Company","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","146","False","False","0.30"
"1","1","Bard's Company","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","146","False","False","0.32"
"1","1","Bark of Doran","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","6","False","False","0.22"
"1","1","Baron Helmut Zemo","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","87","False","False","0.48"
"1","1","Baron Strucker, HYDRA Overlord","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","88","False","False","0.17"
"1","1","Baron Strucker, HYDRA Overlord","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","315","False","False","0.29"
"1","1","Baron, Airship Kingdom","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","273","False","False","0.21"
"1","1","Baron, Airship Kingdom","fin","Near Mint","English","foil","","2026-09-10 00:13:02.787000","273","False","False","0.24"
"5","5","Barrels of Blasting Jelly","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","254","False","False","0.16"
"1","1","Barret Wallace","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","129","False","False","0.12"
"1","1","Barret Wallace","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","129","False","False","0.13"
"1","1","Barret, Avalanche Leader","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","166","False","False","0.45"
"1","1","Barret, Avalanche Leader","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","79","False","False","0.18"
